Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
136,Carlos Rogers,TOR,26.0,210.82,99.79024,Tennessee State,USA,1994,1,11,56,9.8,5.4,0.7,-5.7,0.098,0.154,0.168,0.575,0.046,1996-97
137,Cedric Ceballos,PHX,27.0,200.66,102.0582,Cal State-Fullerton,USA,1990,2,48,50,14.6,6.6,1.3,4.1,0.088,0.181,0.246,0.522,0.073,1996-97
142,Charlie Ward,NYK,26.0,187.96,86.18248,Florida State,USA,1994,1,26,79,5.2,2.8,4.1,4.0,0.031,0.1159999999999999,0.14,0.522,0.282,1996-97
143,Cherokee Parks,MIN,24.0,210.82,108.86208,Duke,USA,1995,1,12,76,3.3,2.6,0.4,-0.6,0.098,0.135,0.123,0.535,0.055,1996-97
144,Damon Stoudamire,TOR,23.0,177.8,77.56423199999999,Arizona,USA,1995,1,7,81,20.2,4.1,8.8,-3.7,0.0289999999999999,0.09,0.253,0.516,0.38,1996-97
148,Dexter Boney,PHX,27.0,193.04,83.91452,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,8,2.4,0.8,0.0,-19.6,0.0579999999999999,0.071,0.231,0.422,0.0,1996-97
149,Dickey Simpkins,CHI,25.0,205.74,112.490816,Providence,USA,1994,1,21,48,1.9,1.9,0.6,-0.9,0.099,0.151,0.163,0.411,0.1119999999999999,1996-97
150,Dikembe Mutombo,ATL,31.0,218.44,113.398,Georgetown,Congo,1991,1,4,80,13.3,11.6,1.4,8.1,0.1119999999999999,0.256,0.179,0.584,0.066,1996-97
153,Don MacLean,PHI,27.0,208.28,106.59412,UCLA,USA,1992,1,19,37,10.9,3.8,1.0,-5.9,0.06,0.152,0.264,0.493,0.091,1996-97
154,Don Reid,DET,23.0,203.2,113.398,Georgetown,USA,1995,2,58,47,2.8,2.1,0.3,-1.5,0.092,0.159,0.154,0.523,0.053,1996-97
156,Donald Whiteside,TOR,28.0,177.8,72.57472,Northern Illinois,USA,Undrafted,Undrafted,Undrafted,27,2.2,0.4,1.3,-12.4,0.009,0.046,0.134,0.479,0.2339999999999999,1996-97
157,Donnie Boyce,ATL,23.0,195.58,88.904032,Colorado,USA,1995,2,42,22,2.5,0.7,0.6,-10.3,0.051,0.059,0.244,0.3779999999999999,0.146,1996-97
158,Donny Marshall,CLE,24.0,200.66,104.32616,Connecticut,USA,1995,2,39,56,3.1,1.3,0.4,-8.7,0.045,0.118,0.19,0.476,0.085,1996-97
159,Dontonio Wingfield,POR,23.0,203.2,116.119552,Cincinnati,USA,1994,2,37,47,4.5,2.9,1.0,1.3,0.132,0.144,0.204,0.501,0.14,1996-97
160,Donyell Marshall,GSW,24.0,205.74,104.32616,Connecticut,USA,1994,1,4,61,7.3,4.5,0.9,-8.6,0.098,0.21,0.222,0.478,0.088,1996-97
161,Doug Christie,TOR,27.0,198.12,92.98636,Pepperdine,USA,1992,1,17,81,14.5,5.3,3.9,-2.6,0.031,0.135,0.184,0.5429999999999999,0.165,1996-97
162,Doug Overton,PHI,27.0,190.5,86.18248,La Salle,USA,1991,2,40,61,3.6,1.1,1.7,-1.3,0.031,0.085,0.172,0.514,0.258,1996-97
164,Duane Causwell,SAC,29.0,213.36,108.86208,Temple,USA,1990,1,18,46,2.6,2.8,0.4,-11.8,0.1119999999999999,0.143,0.111,0.535,0.0559999999999999,1996-97
165,Duane Ferrell,IND,32.0,200.66,97.52228,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,62,6.4,2.3,1.1,2.3,0.066,0.091,0.181,0.521,0.1,1996-97
166,Dwayne Schintzius,LAC,28.0,215.9,117.93392,Florida,USA,1990,1,24,15,2.3,1.5,0.3,12.3,0.078,0.151,0.175,0.43,0.048,1996-97
168,Ed O'Bannon,DAL,24.0,203.2,100.697424,UCLA,USA,1995,1,9,64,3.7,2.3,0.6,-8.7,0.06,0.149,0.1669999999999999,0.3989999999999999,0.077,1996-97
